split,stratifier,stratum,metric,n_complexes,mean,ci95_low,ci95_high
split2028,ligand_atoms_quartile,Q4,p_at_10,6,0.0,0.0,0.0
split2028,ligand_atoms_quartile,Q4,p_at_nc,6,0.0045045045045045,0.0,0.0135135135135135
split2026,density_quartile,Q1,auprc,21,0.014588449839386175,0.010029480660343103,0.020690881964426658
split2026,density_quartile,Q1,auroc,21,0.6011714613183285,0.4916081157102401,0.692911950977241
split2026,density_quartile,Q1,mcc,21,0.038713947860691524,0.0129003720214762,0.06456486953038922
split2026,density_quartile,Q1,f1,21,0.02839168573346667,0.01696593503043084,0.040364702979480666
split2026,density_quartile,Q1,p_at_5,21,0.0,0.0,0.0
split2026,density_quartile,Q1,p_at_10,21,0.009523809523809525,0.0,0.028571428571428574
split2026,density_quartile,Q1,p_at_nc,21,0.0075,0.0,0.0225
split2026,density_quartile,Q2,auprc,9,0.07743771104084453,0.03058227393352257,0.1462654506630781
split2026,density_quartile,Q2,auroc,9,0.701511279761959,0.6409965799835429,0.7581363856680792
split2026,density_quartile,Q2,mcc,9,0.04064039016509797,0.010160771376575867,0.08142482242906905
split2026,density_quartile,Q2,f1,9,0.04064025829643827,0.01380365547406409,0.07395693329227367
split2026,density_quartile,Q2,p_at_5,9,0.08888888888888889,0.0,0.2222222222222222
split2026,density_quartile,Q2,p_at_10,9,0.09999999999999999,0.0,0.25555555555555554
